Memory type;Flash
Block Size;20 Kb
Element type;char
BufferSize;1
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;
Timer;std::chrono::high_resolution_clock::now
AverageWriteTime;1.28387e+07
WriteTime;1.3515e+07;1.46839e+07;1.31187e+07;1.27518e+07;1.33697e+07;1.25478e+07;1.30761e+07;1.2316e+07;1.29158e+07;1.32381e+07;1.24168e+07;1.20029e+07;1.25856e+07;1.22785e+07;1.25053e+07;1.2282e+07;1.37941e+07;1.26012e+07;1.26354e+07;1.31502e+07;1.2783e+07;1.23563e+07;1.23669e+07;
WriteBandWidth;1595.17
AbsError(write);676257;1.84516e+06;279957;86943.5;530957;290943;237357;522743;77056.5;399357;421943;835843;253143;560243;333443;556743;955357;237543;203343;311457;55743.5;482443;471843;
RelError(write);5.26731;14.3718;2.18056;0.677196;4.13558;2.26614;1.84875;4.07161;0.600187;3.11056;3.28649;6.51032;1.97172;4.36369;2.59717;4.33643;7.4412;1.85021;1.58383;2.42591;0.434182;3.75772;3.67515;
AverageReadTime;1.6471e+06
ReadTime;1.8223e+06;1.6311e+06;1.6702e+06;1.7347e+06;1.5825e+06;1.5476e+06;1.81e+06;1.5005e+06;1.4346e+06;1.7397e+06;1.4893e+06;1.5869e+06;1.6408e+06;1.5926e+06;1.7182e+06;1.8044e+06;1.6834e+06;1.6956e+06;1.7137e+06;1.6508e+06;1.5264e+06;1.6494e+06;1.6585e+06;
ReadBandWidth;12434
AbsError(read);175204;15995.7;23104.3;87604.3;64595.7;99495.7;162904;146596;212496;92604.3;157796;60195.7;6295.65;54495.7;71104.3;157304;36304.3;48504.3;66604.3;3704.35;120696;2304.35;11404.3;
RelError(read);10.6372;0.971143;1.40273;5.31872;3.92179;6.04067;9.8904;8.90025;12.9012;5.62228;9.58024;3.65465;0.382227;3.30859;4.31695;9.55041;2.20414;2.94484;4.04374;0.224902;7.32779;0.139904;0.692391;
